repo,head_img_url,head_img_src,head_title,head_description,body_description,important_factors,built_with,acknowledgements,product_screenshot,README Complete,laptop,desktop,GHVerified
West-End-Financial,https://westendfinancial.herokuapp.com/,https://raw.githubusercontent.com/ARMcK-hub/West-End-Financial/master/Images/About_us.jpg,Credit Crunch by West End Financial,Delivering sustainable financial solutions to customers everywhere.,"Credit Crunch is a credit risk analysis web application built by the team at West End Financial.

The app utilizes various methods analysis, involves 2 key determination methods. One being a pre-developed neural network model that is utilized when the top 10 requested input fields are submitted and the other being a dynamic nerual network model that builds itself from a set of fields designated by the user.","* It can lower your risk of financial credit lines given to your customers
* It can pre-approve your customers for a credit line
* It can enable cross-selling of other financial products such as savings and checking accounts
* It can reduce overhead and responsabilities of your Credit Loan Officers","* [Heroku](https://www.heroku.com/home)
* [TensorFlow 2.0](https://www.tensorflow.org/)
* [SciKit-Learn](https://scikit-learn.org/stable/index.html)
* [Flask](https://flask.palletsprojects.com/en/1.1.x/)
* [Bootstrap](https://getbootstrap.com)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://raw.githubusercontent.com/ARMcK-hub/West-End-Financial/master/Images/App_Home.png,y,y,y,y
MarketAnalytica,https://armck-hub.github.io/MarketAnalytica/,https://armck-hub.github.io/MarketAnalytica/images/Market_Analytica/s&p375_sector_pieplot.png,Market Analytica,S&P 375 Investment for the Masses,"Market Analytica is an analysis of the top recurring 375 companies within the S&P 500.

The analysis looks at various factors such as top and bottom individual performers as well as a comparison of market sectors during market downturn.

-- Some Limitations --

Note there could be more depending on what you would like to determine with this analysis, but here are some common insights:

* The list of companies used is the current S&P500 list. Note that the list is dynamic and companies move in and out all the time.
* Data was limited to only the 375 stocks that existed for all 20 years called, so it does not include all 500.
* While having a whopping 375 different stocks is great, more stocks should be considered before making significant investments as these only represent the largest of the large-cap companies.
* Up-turn and down-turn periods are defined using peak-to-peak time frame of the S&P 375 index average.
* The rebound period analyzed was from th bottom peak of the End Of Year 2018 dip to the end of data called (present) since there has not be a major flattening or downturn in the market to date.","* What kind of Sectors (industries) are present in current the S&P500 and are there some that clearly stand out as winners?
* Are S&P500 stocks gaining value and are they returning increases in value that are beating the rest of the market?
* How popular are these large Market Cap stocks and are they gaining interest from investors?
* What are some of the best and worst performing stocks to invest in?
* What are some of the best and worst performing sectors to invest in?
* When there is economic downturn or rebound, what might be some good things to invest in?","* [Alpha Vantage](https://www.alphavantage.co/)
* [Bootstrap](https://getbootstrap.com)
* [Jupyter Notebooks](https://jupyter.org/)
* [Git LFS](https://git-lfs.github.com/)","* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/)
* [Haydenbu](https://github.com/Haydenbu)
* [skinnms](https://github.com/skinnms)",https://raw.githubusercontent.com/ARMcK-hub/MarketAnalytica/master/images/Home_Page.png,y,y,y,y
GeoHops,https://armck-hub.github.io/GeoHops/,https://i.pinimg.com/originals/50/22/04/5022049fe24ed70fe2cc9592c40620da.png,GeoHops,Nashville Beer Permits Visualized,"GeoHops is a web dashboard that displays various views of the Beer Permits in the Nashville Metro area.

The dashboard directly pings the data.nashville.gov API, ensuring that you are viewing the most up-to-date information.

Many different conslusions can be drawn from this data, but feel free to dig deep into whatever you like. Below are some examples of what you might like to use this tool for.","* Determining the next best spot to place your serving business
* Identifying geographical gaps in the industry
* Tracking Nashville vs Bar permits over time
* Determining breakdown of permit types","* [Nashville Gov Data](https://data.nashville.gov/resource/3wb6-xy3j.geojson)
* [Bootstrap](https://getbootstrap.com)
* [MapBox](https://www.mapbox.com/)
* [Leaflet](https://leafletjs.com/)
* [Plotly](https://plotly.com/)","* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/)
* [Jon Disafrino](https://github.com/jdisarufino)
* [karsten-olson](https://github.com/karsten-olson)
* [Nriff](https://github.com/NRiff)",https://raw.githubusercontent.com/ARMcK-hub/GeoHops/master/static/images/Home_Page.png,y,y,y,y
armck-hub.github.io,https://armck-hub.github.io/,https://media-exp1.licdn.com/dms/image/C4E03AQFYT2N4tID4rg/profile-displayphoto-shrink_200_200/0?e=1594857600&v=beta&t=m5N3AqCtxxkwHpzHfAC2cCqB-PJlZbEZBScn_BgADKo,Drew McKinney's Portfolio,Drew McKinney. Public.,"Here you can find varrious works I have completed thus far!

I might have many more items that I am currently working on or some items that I have not found presentable just yet; so feel free to also look around on my GitHub profile!",* Find me! And all of my great works!,* [Bootstrap](https://getbootstrap.com),* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://media-exp1.licdn.com/dms/image/C4E16AQEFCZthB9uxEg/profile-displaybackgroundimage-shrink_200_800/0?e=1594857600&v=beta&t=_ld_MJJiuklZjbjlDkyi2r2XqVQWv7hLgJZ9CGa3ayE,y,y,y,y
Mission-to-Mars,https://mars2houston.herokuapp.com/,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/OSIRIS_Mars_true_color.jpg/1200px-OSIRIS_Mars_true_color.jpg,Mission To Mars,Mars News - Launching Near You,"Mission To Mars is an application that displays various important and up-to-date details on your favorite Red Planet.

The application uses web-scraping and other techniques to gather information from around the internet and then display it for your consumption.",* To prepare you for your trip to Mars - coming sooner than you think!,"* [Heroku](https://www.heroku.com/home)
* [Flask](https://flask.palletsprojects.com/en/1.1.x/)
* [Bootstrap](https://getbootstrap.com)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://raw.githubusercontent.com/ARMcK-hub/Mission-to-Mars/master/static/images/Home_Page.png,y,y,y,y
Epicentered,https://armck-hub.github.io/Epicentered/,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSN_qj-i91HftDjOE4CgHaimXodMDroGt6qn5_IXsKu4vWJyTHI&usqp=CAU,Epicentered,Web Mapping Quakes Near You,"Epicentered is a web page detailing a large quantity of earthquake epicenters and their associated details.

The data used in Epicentered is pulled from an API, meaning that your views stay up-to-date and real-time.","* Helping geologists determine key points of interest & activity
* Helping home owners figure out where they might NOT want to live","* [Bootstrap](https://getbootstrap.com)
* [MapBox](https://www.mapbox.com/)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://raw.githubusercontent.com/ARMcK-hub/Epicentered/master/static/images/Home_Page.png,y,y,y,y
TradeUp,https://github.com/ARMcK-hub/TradeUp,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRYvGvij452mpBVZHYYyjhjIIH42DK2MBLm4ogLCRa6y0zno4pN&usqp=CAU,TradeUp,Autonomous Trading,"TradeUp is an autonomous trading bot.

TradeUp is currently in development.","* Make you money, without the hassel","* [Heroku](https://www.heroku.com/home)
* [TensorFlow 2.0](https://www.tensorflow.org/)
* [SciKit-Learn](https://scikit-learn.org/stable/index.html)
* [Flask](https://flask.palletsprojects.com/en/1.1.x/)
* [Bootstrap](https://getbootstrap.com)",* Your name could be here!,https://investorplace.com/wp-content/uploads/2019/05/trading-advice-1024x704.jpg,y,y,y,y
Scryb,https://github.com/ARMcK-hub/Scryb,https://chicagohealthonline.com/wp-content/uploads/2018/07/Screen-Shot-2018-07-09-at-2.44.48-PM.png,Scryb,E-Receipts Made Easy,"Scryb is a framework that vendors and users alike can use to manage their receipts.

Scryb is currently in development","* Reduce money spend on paper receipts and associated waste
* Automate data collection and analysis for user data","* [Heroku](https://www.heroku.com/home)
* [TensorFlow 2.0](https://www.tensorflow.org/)
* [SciKit-Learn](https://scikit-learn.org/stable/index.html)
* [Flask](https://flask.palletsprojects.com/en/1.1.x/)
* [Bootstrap](https://getbootstrap.com)",* Zach McKinney,https://chicagohealthonline.com/wp-content/uploads/2018/07/Screen-Shot-2018-07-09-at-2.44.48-PM.png,y,y,y,y
Stomach-Strains,https://armck-hub.github.io/Stomach-Strains/,https://news.usc.edu/files/2018/02/HarmfulBacteria_web.jpg,Stomach-Strains,Naval Bacterial Tracking,"Stomach-Strains is a web-based dashboard that displays ""patient"" data regarding to specific bacteria found in their naval cavity. (belly button)","* Finding pateint specific data
* Deriving potential sicknesses based on the strains found","* [Bootstrap](https://getbootstrap.com)
* [Plotly](https://plotly.com/)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://raw.githubusercontent.com/ARMcK-hub/Stomach-Strains/master/static/images/Home_Page.png,y,y,y,y
Climate-Endpoint,https://climate-endpoint.herokuapp.com/,https://static.goanywhere.com/images/tutorials/read-json/ExampleJSON2.png,Climate-Endpoint,Climate Data API,"/

* Home page.
* Lists all routes that are available.

/api/v1.0/precipitation

* Converts the query results to a Dictionary using date as the key and prcp as the value.
* Returns the JSON representation of your dictionary.

/api/v1.0/stations

* Returns a JSON list of stations from the dataset.

/api/v1.0/tobs

* Queries for the dates and temperature observations from a year from the last data point.
* Returns a JSON list of Temperature Observations (tobs) for the previous year.

/api/v1.0/ and /api/v1.0//

* Returns a JSON list of the minimum temperature, the average temperature, and the max temperature for a given start or start-end range.
* When given the start only, calculates TMIN, TAVG, and TMAX for all dates greater than and equal to the start date.
* When given the start and the end date, calculates the TMIN, TAVG, and TMAX for dates between the start and end date inclusive.",* Allows other systems to integrate and touch climate data easily and for free!,"* [Heroku](https://www.heroku.com/home)
* [Flask](https://flask.palletsprojects.com/en/1.1.x/)
* [PostgreSQL](https://www.postgresql.org/)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://climatedataguide.ucar.edu/sites/default/files/styles/node_lightbox_display/public/key_figures/climate_data_set/PRISM_ppt_30yr_normal_4kmM2_annual.png?itok=UWLBBnGa,y,y,y,y
